mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
-1.0,27158135.0,3.0,180.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,TRANSPORTS MARITIME LONG COURS,1.0
-1.0,99135.0,3.0,79.0,0.0,0.0,0.0,3,CENTRE DIV IMPOTS DE DOUALA 10,J,SERV. FOURN. AUX ENTREPRISES,0.0
-1.0,5422599.0,3.0,15.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,ACTIVITES FINANCIERES ET D'ASSURANCE,0.0
36.0,176135.0,0.0,50.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,TRANSPORTS URBAINS,1.0
-1.0,405981.0,0.0,43.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,COMMERCE DE GROS ET DE DETAIL,0.0
-1.0,2979936.0,0.0,194.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,R,SOINS MEDICAUX d a SERVICES,0.0
1.0,-5.0,1.0,2.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,58874.0,1.0,13.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,TRANSPORTS ROUTIERS DE MARCHANDISES OU DE VOYAGEURS,1.0
-1.0,214618.0,0.0,43.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 1,R,TRANSPORTS PAR CAMIONS,1.0
0.0,284759.0,1.0,14.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,CONSTRUCTION,1.0
-1.0,1517129.0,3.0,69.0,0.0,0.0,0.0,1,CIME CENTRE DIV DES IMPOTS DE YAOUNDE 1,J,BATIMENT ET TRAVAUX PUBLICS,1.0
-1.0,19256978.0,3.0,48.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,BANQUE ET ETABLISSEMENTS FINANCIERS,0.0
-1.0,3897394.0,0.0,93.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,R,REPARATION MOTEUR MECANIQUE GENER.,1.0
-1.0,4274658.0,3.0,219.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,TRAVAIL DES GRAINS,1.0
0.0,75149.0,3.0,89.0,0.0,0.0,0.0,1,CENTRE PRINCIPAL DES IMPOTS DU LITTORAL 1,V,COMMUNICATIONS,0.0
-1.0,293875.0,0.0,68.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 13,R,"S.FOURN.COLLEC, S.SOCIAUX sPERSONNELS",0.0
