col,count,mean,std,min,25%,50%,75%,max,missing
mois_non_declares,4013.0,5.98056316969848,16.620631300505018,-2.0,-1.0,0.0,4.0,254.0,289
solde,4037.0,4326391.512509289,49024446.38252532,-97328446.0,10290.0,80176.0,466383.0,2094813512.0,265
mois_payes_spontane_dern_seg,4206.0,1.5477888730385163,1.3457904984653568,0.0,0.0,2.0,3.0,6.0,96
