,mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois
mois_non_declares,1.0,-0.029593698889584838,-0.6076139388459207,-0.021562341121761582
solde,-0.029593698889584838,1.0,-0.14326767659586107,0.37917844625743724
mois_payes_spontane_dern_seg,-0.6076139388459207,-0.14326767659586107,1.0,0.1627900132893857
anciennete_mois,-0.021562341121761582,0.37917844625743724,0.1627900132893857,1.0
