model,accuracy,precision_pos,recall_pos,f1_pos,roc_auc
xgboost,0.8025551684088269,0.6835820895522388,0.7815699658703071,0.7292993630573248,0.8968478104119598
random_forest,0.7084785133565621,0.5411764705882353,0.9419795221843004,0.6874221668742216,0.8960186030860935
stacking,0.8060394889663183,0.6730769230769231,0.8361774744027304,0.745814307458143,0.8955018506946113
knn,0.7793263646922184,0.6734006734006734,0.6825938566552902,0.6779661016949152,0.8417115319905784
